date,hour,station,line,pax_TOTAL
2024-03-01,5,Acoyte,A,50
2024-03-01,5,Aguero,D,1
2024-03-01,5,Alberti,A,6
2024-03-01,5,Angel Gallardo,B,30
2024-03-01,5,Avenida La Plata,E,26
2024-03-01,5,Avenida de Mayo,C,19
2024-03-01,5,Boedo,E,32
2024-03-01,5,Bolivar,E,12
2024-03-01,5,Callao.B,B,39
2024-03-01,5,Carabobo,A,21
2024-03-01,5,Carlos Gardel,B,31
2024-03-01,5,Carlos Pellegrini,B,66
2024-03-01,5,Caseros,H,47
2024-03-01,5,Castro Barros,A,22
2024-03-01,5,Catalinas,E,8
2024-03-01,5,Congreso,A,39
2024-03-01,5,Constitucion,C,1592
2024-03-01,5,Cordoba,H,16
2024-03-01,5,Correo Central,E,19
2024-03-01,5,Corrientes,H,7
2024-03-01,5,Diagonal Norte,C,8
2024-03-01,5,Dorrego,B,40
2024-03-01,5,Echeverria,B,10
2024-03-01,5,Emilio Mitre,E,23
2024-03-01,5,Entre Rios,E,23
2024-03-01,5,Facultad de Derecho,H,8
2024-03-01,5,Federico Lacroze,B,291
2024-03-01,5,Flores,A,62
2024-03-01,5,Florida,B,12
2024-03-01,5,General Belgrano,E,10
2024-03-01,5,General San Martin,C,14
2024-03-01,5,Hospitales,H,119
2024-03-01,5,Humberto I,H,29
2024-03-01,5,Inclan,H,44
2024-03-01,5,Independencia,C,29
2024-03-01,5,Independencia.H,E,24
2024-03-01,5,Jose Maria Moreno,E,19
2024-03-01,5,Jujuy,E,19
2024-03-01,5,Las Heras,H,15
2024-03-01,5,Lavalle,C,13
2024-03-01,5,Leandro N. Alem,B,126
2024-03-01,5,Lima,A,16
2024-03-01,5,Loria,A,39
2024-03-01,5,Los Incas,B,29
2024-03-01,5,Malabia,B,40
2024-03-01,5,Mariano Moreno,C,10
2024-03-01,5,Medalla Milagrosa,E,14
2024-03-01,5,Medrano,B,60
2024-03-01,5,Ministro Carranza,D,1
2024-03-01,5,Once,H,56
2024-03-01,5,Pasco,A,5
2024-03-01,5,Pasteur,B,21
2024-03-01,5,Patricios,H,85
2024-03-01,5,Peru,A,9
2024-03-01,5,Pichincha,E,18
2024-03-01,5,Piedras,A,7
2024-03-01,5,Plaza Italia,D,2
2024-03-01,5,Plaza Miserere,A,91
2024-03-01,5,Plaza de Mayo,A,40
2024-03-01,5,Primera Junta,A,109
2024-03-01,5,Puan,A,17
2024-03-01,5,Pueyrredon,B,49
2024-03-01,5,Pza. de los Virreyes,E,153
2024-03-01,5,Retiro,C,196
2024-03-01,5,Retiro E,E,21
2024-03-01,5,Rio de Janeiro,A,23
2024-03-01,5,Rosas,B,177
2024-03-01,5,Saenz Pena ,A,22
2024-03-01,5,San Jose,E,27
2024-03-01,5,San Juan,C,23
2024-03-01,5,San Pedrito,A,150
2024-03-01,5,Santa Fe,H,12
2024-03-01,5,Tronador,B,25
2024-03-01,5,Urquiza,E,29
2024-03-01,5,Uruguay,B,12
2024-03-01,5,Varela,E,21
2024-03-01,5,Venezuela,H,43
2024-03-01,6,Acoyte,A,226
2024-03-01,6,Alberti,A,46
2024-03-01,6,Angel Gallardo,B,208
2024-03-01,6,Avenida La Plata,E,108
2024-03-01,6,Avenida de Mayo,C,52
2024-03-01,6,Boedo,E,111
2024-03-01,6,Bolivar,E,33
2024-03-01,6,Callao.B,B,146
2024-03-01,6,Carabobo,A,194
2024-03-01,6,Carlos Gardel,B,108
2024-03-01,6,Carlos Pellegrini,B,184
2024-03-01,6,Caseros,H,154
2024-03-01,6,Castro Barros,A,152
2024-03-01,6,Catalinas,E,19
2024-03-01,6,Catedral,D,1
2024-03-01,6,Congreso,A,118
2024-03-01,6,Congreso de Tucuman,D,6
2024-03-01,6,Constitucion,C,5659
2024-03-01,6,Cordoba,H,87
2024-03-01,6,Correo Central,E,79
2024-03-01,6,Corrientes,H,45
2024-03-01,6,Diagonal Norte,C,30
2024-03-01,6,Dorrego,B,241
2024-03-01,6,Echeverria,B,128
2024-03-01,6,Emilio Mitre,E,115
2024-03-01,6,Entre Rios,E,88
2024-03-01,6,Facultad de Derecho,H,23
2024-03-01,6,Federico Lacroze,B,914
2024-03-01,6,Flores,A,323
2024-03-01,6,Florida,B,34
2024-03-01,6,General Belgrano,E,26
2024-03-01,6,General San Martin,C,33
2024-03-01,6,Hospitales,H,771
2024-03-01,6,Humberto I,H,124
2024-03-01,6,Inclan,H,139
2024-03-01,6,Independencia,C,92
