Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-01-01,496.0,492,4.0,410.0,427.0,82.0,65.0,2004,1
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-01-01,683.0,677,6.0,576.0,595.0,101.0,82.0,2004,1
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-01-01,821.0,799,22.0,723.0,706.0,76.0,93.0,2004,1
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-01-01,686.0,682,4.0,614.0,599.0,68.0,83.0,2004,1
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-01-01,800.0,785,15.0,683.0,708.0,102.0,77.0,2004,1
Brisbane-Sydney,Brisbane,Sydney,QantasLink,2004-01-01,1.0,1,0.0,1.0,1.0,0.0,0.0,2004,1
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-01-01,301.0,300,1.0,256.0,259.0,44.0,41.0,2004,1
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-01-01,475.0,469,6.0,393.0,395.0,76.0,74.0,2004,1
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-01-01,562.0,559,3.0,481.0,474.0,78.0,85.0,2004,1
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-01-01,476.0,469,7.0,402.0,393.0,67.0,76.0,2004,1
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-01-01,565.0,562,3.0,494.0,503.0,68.0,59.0,2004,1
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-02-01,438.0,438,0.0,425.0,428.0,13.0,10.0,2004,2
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-02-01,608.0,604,4.0,561.0,547.0,43.0,57.0,2004,2
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-02-01,812.0,807,5.0,749.0,735.0,58.0,72.0,2004,2
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-02-01,604.0,600,4.0,562.0,558.0,38.0,42.0,2004,2
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-02-01,789.0,785,4.0,702.0,713.0,83.0,72.0,2004,2
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-02-01,280.0,274,6.0,256.0,250.0,18.0,24.0,2004,2
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-02-01,452.0,449,3.0,414.0,404.0,35.0,45.0,2004,2
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-02-01,597.0,592,5.0,532.0,517.0,60.0,75.0,2004,2
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-02-01,450.0,448,2.0,398.0,396.0,50.0,52.0,2004,2
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-02-01,597.0,591,6.0,537.0,542.0,54.0,49.0,2004,2
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-03-01,467.0,465,2.0,433.0,439.0,32.0,26.0,2004,3
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-03-01,644.0,642,2.0,598.0,604.0,44.0,38.0,2004,3
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-03-01,890.0,881,9.0,819.0,819.0,62.0,62.0,2004,3
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-03-01,638.0,637,1.0,616.0,610.0,21.0,27.0,2004,3
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-03-01,872.0,862,10.0,804.0,827.0,58.0,35.0,2004,3
Sydney-Brisbane,Sydney,Brisbane,QantasLink,2004-03-01,2.0,2,0.0,2.0,2.0,0.0,0.0,2004,3
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-03-01,302.0,299,3.0,275.0,278.0,24.0,21.0,2004,3
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-03-01,484.0,481,3.0,452.0,456.0,29.0,25.0,2004,3
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-03-01,649.0,640,9.0,592.0,584.0,48.0,56.0,2004,3
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-03-01,482.0,477,5.0,458.0,452.0,19.0,25.0,2004,3
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-03-01,649.0,641,8.0,595.0,600.0,46.0,41.0,2004,3
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-04-01,450.0,449,1.0,411.0,430.0,38.0,19.0,2004,4
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-04-01,595.0,595,0.0,539.0,545.0,56.0,50.0,2004,4
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-04-01,835.0,820,15.0,734.0,729.0,86.0,91.0,2004,4
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-04-01,585.0,584,1.0,532.0,530.0,52.0,54.0,2004,4
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-04-01,813.0,799,14.0,708.0,716.0,91.0,83.0,2004,4
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-04-01,293.0,284,9.0,255.0,248.0,29.0,36.0,2004,4
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-04-01,508.0,495,13.0,452.0,454.0,43.0,41.0,2004,4
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-04-01,621.0,612,9.0,553.0,551.0,59.0,61.0,2004,4
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-04-01,507.0,496,11.0,455.0,452.0,41.0,44.0,2004,4
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-04-01,621.0,611,10.0,565.0,569.0,46.0,42.0,2004,4
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-05-01,464.0,461,3.0,430.0,439.0,31.0,22.0,2004,5
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-05-01,618.0,603,15.0,559.0,556.0,44.0,47.0,2004,5
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-05-01,861.0,841,20.0,792.0,792.0,49.0,49.0,2004,5
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-05-01,616.0,603,13.0,559.0,564.0,44.0,39.0,2004,5
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-05-01,838.0,817,21.0,766.0,771.0,51.0,46.0,2004,5
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-05-01,318.0,315,3.0,299.0,262.0,16.0,53.0,2004,5
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-05-01,508.0,498,10.0,479.0,475.0,19.0,23.0,2004,5
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-05-01,686.0,672,14.0,606.0,613.0,66.0,59.0,2004,5
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-05-01,508.0,498,10.0,474.0,475.0,24.0,23.0,2004,5
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-05-01,686.0,672,14.0,625.0,627.0,47.0,45.0,2004,5
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-06-01,441.0,437,4.0,394.0,390.0,43.0,47.0,2004,6
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-06-01,601.0,594,7.0,534.0,539.0,60.0,55.0,2004,6
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-06-01,842.0,817,25.0,754.0,763.0,63.0,54.0,2004,6
